MediaType,Title,Author,Description,Link,Topics,Genres,Status,Rating
Book,The Pragmatic Programmer,Andy Hunt and Dave Thomas,A practical guide to software craftsmanship,https://pragprog.com,programming;software engineering,technical;nonfiction,Completed,SuperLike
Article,Introduction to Clean Code,Robert C. Martin,Learn the basics of writing clean maintainable code,https://example.com/clean-code,programming;best practices,technical,Uncharted,Like
Book,Design Patterns,Gang of Four,Essential software design patterns every developer should know,https://example.com/design-patterns,programming;architecture,technical;reference,ActivelyExploring,Like
Video,Python Tutorial for Beginners,Corey Schafer,Complete Python programming course,https://youtube.com/watch?v=example,python;programming;tutorial,educational,Completed,SuperLike
Movie,The Social Network,David Fincher,The story of Facebook's founding,https://imdb.com/title/tt1285016,technology;entrepreneurship,drama;biography,Completed,Like
Article,Understanding Microservices,Martin Fowler,Comprehensive guide to microservices architecture,https://martinfowler.com/microservices,architecture;distributed systems,technical,ActivelyExploring,SuperLike
Book,You Don't Know JS,Kyle Simpson,Deep dive into JavaScript mechanics,https://github.com/getify/You-Dont-Know-JS,javascript;web development,technical;programming,Uncharted,Neutral
Website,MDN Web Docs,Mozilla,Comprehensive web development documentation,https://developer.mozilla.org,web development;documentation;reference,technical,ActivelyExploring,SuperLike
TVShow,Silicon Valley,Mike Judge,Comedy series about tech startups,,technology;startups;comedy,comedy;tech,Completed,Like
Video,Git Tutorial,Traversy Media,Learn Git and GitHub from scratch,https://youtube.com/watch?v=git-tutorial,git;version control;tutorial,educational,Completed,Like
Article,REST API Best Practices,Various,Guidelines for designing RESTful APIs,https://example.com/rest-best-practices,api design;web services,technical,Uncharted,Neutral
Book,Clean Architecture,Robert C. Martin,Guide to software architecture and design,https://example.com/clean-arch,architecture;software design,technical;nonfiction,ActivelyExploring,SuperLike
Movie,Ex Machina,Alex Garland,AI and consciousness exploration,https://imdb.com/title/tt0470752,artificial intelligence;philosophy,science fiction;thriller,Completed,SuperLike
Website,Stack Overflow,Stack Exchange,Q&A platform for developers,https://stackoverflow.com,programming;community,technical;reference,ActivelyExploring,Like
Article,Introduction to Docker,Docker Inc,Getting started with containerization,https://docs.docker.com/get-started,docker;containers;devops,technical;tutorial,Uncharted,Like











